framenr,riders,numbers,boxes
171,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4']","[(1360, 654, 1478, 762), (1512, 643, 1617, 744), (710, 472, 740, 513), (733, 471, 772, 511), (1133, 532, 1192, 599), (1187, 535, 1248, 598), (1003, 506, 1066, 560), (1034, 507, 1076, 558)]"
172,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL']","['53', '5', '221', '221', '86', '86', '43', '4']","[(1356, 654, 1473, 764), (1508, 642, 1611, 742), (686, 473, 729, 519), (724, 473, 760, 516), (1134, 535, 1194, 601), (1189, 535, 1249, 600), (1033, 508, 1076, 559), (1034, 507, 1076, 558)]"
173,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Michael GOGL', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '4', '43']","[(1354, 654, 1467, 764), (1504, 641, 1608, 744), (681, 475, 724, 522), (724, 474, 761, 518), (1134, 538, 1192, 603), (1187, 536, 1249, 600), (1033, 511, 1078, 562), (1034, 507, 1076, 558), (991, 508, 1038, 565)]"
174,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1349, 652, 1454, 762), (1503, 644, 1605, 746), (679, 479, 720, 524), (715, 477, 755, 523), (1131, 538, 1191, 604), (1185, 537, 1247, 601), (1030, 509, 1076, 561), (988, 510, 1034, 564)]"
175,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1346, 655, 1446, 762), (1501, 653, 1600, 753), (674, 480, 717, 528), (715, 480, 756, 525), (1125, 540, 1187, 606), (1182, 538, 1241, 602), (1026, 511, 1073, 564), (983, 510, 1034, 567)]"
176,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1342, 655, 1440, 761), (1494, 654, 1595, 759), (665, 484, 712, 533), (709, 484, 752, 530), (1123, 541, 1182, 607), (1178, 539, 1234, 603), (1020, 519, 1068, 572), (980, 517, 1027, 572)]"
177,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1341, 653, 1436, 761), (1494, 655, 1595, 766), (658, 487, 704, 532), (703, 488, 744, 531), (1118, 542, 1177, 608), (1172, 539, 1232, 603), (1018, 521, 1067, 575), (976, 519, 1025, 573)]"
178,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1336, 654, 1432, 760), (1493, 656, 1590, 768), (652, 494, 696, 538), (698, 495, 737, 534), (1114, 545, 1172, 609), (1168, 543, 1229, 605), (1011, 522, 1062, 581), (967, 523, 1018, 579)]"
179,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1334, 655, 1429, 760), (1488, 658, 1582, 767), (646, 494, 692, 543), (689, 496, 732, 541), (1110, 548, 1168, 612), (1166, 545, 1229, 610), (1003, 526, 1054, 584), (959, 524, 1008, 581)]"
180,"['Daan HOOLE', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Elmar REINDERS', 'Elmar REINDERS', 'Jasper DE BUYST', 'Jasper DE BUYST']","['53', '5', '221', '221', '86', '86', '43', '43']","[(1326, 653, 1425, 760), (1478, 657, 1574, 768), (640, 497, 682, 545), (684, 500, 725, 545), (1107, 550, 1167, 614), (1163, 547, 1225, 612), (1000, 533, 1048, 587), (955, 529, 1006, 585)]"
