framenr,riders,numbers,boxes
301,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Gianni VERMEERSCH', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '11', '191', '204', '6', '67', '69', '204']","[(1368, 320, 1482, 423), (860, 378, 935, 471), (1474, 317, 1586, 415), (942, 370, 1019, 466), (961, 207, 1025, 274), (707, 225, 771, 287), (1165, 264, 1253, 357), (1042, 218, 1109, 283), (776, 238, 855, 296), (1094, 223, 1150, 282), (1247, 265, 1332, 358)]"
302,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Gianni VERMEERSCH', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '11', '191', '204', '6', '67', '69', '204']","[(1386, 310, 1501, 410), (869, 375, 948, 465), (1495, 309, 1601, 404), (948, 368, 1029, 460), (966, 200, 1026, 256), (713, 220, 775, 279), (1166, 261, 1256, 350), (1076, 210, 1145, 272), (780, 241, 855, 299), (1097, 208, 1160, 268), (1253, 260, 1335, 346)]"
303,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Matteo JORGENSON']","['72', '55', '72', '55', '11', '191', '204', '66', '67', '69', '204']","[(1404, 309, 1516, 404), (877, 373, 957, 467), (1510, 305, 1626, 399), (960, 366, 1040, 458), (966, 200, 1026, 256), (717, 221, 777, 276), (1170, 259, 1262, 347), (1050, 208, 1116, 273), (786, 250, 857, 311), (1102, 205, 1163, 264), (1258, 258, 1341, 343)]"
304,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Wout VAN AERT', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Neilson POWLESS', 'Matteo JORGENSON']","['72', '55', '72', '55', '11', '191', '204', '66', '67', '96', '204']","[(1426, 308, 1536, 403), (886, 374, 963, 468), (1528, 306, 1645, 396), (967, 365, 1045, 457), (966, 200, 1026, 256), (724, 219, 788, 277), (1180, 257, 1271, 347), (1067, 207, 1129, 263), (795, 263, 865, 321), (1102, 204, 1164, 259), (1265, 256, 1351, 340)]"
305,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Neilson POWLESS', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '66', '67', '96', '204']","[(1444, 310, 1559, 408), (893, 377, 971, 468), (1547, 306, 1661, 395), (974, 370, 1058, 461), (734, 218, 802, 279), (1189, 257, 1279, 345), (1091, 209, 1167, 268), (799, 276, 877, 335), (1121, 209, 1174, 263), (1276, 257, 1363, 345)]"
306,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Neilson POWLESS', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '66', '67', '96', '204']","[(1458, 311, 1572, 409), (903, 381, 981, 472), (1557, 303, 1672, 391), (986, 375, 1064, 467), (742, 222, 810, 283), (1199, 261, 1287, 345), (1075, 213, 1146, 273), (804, 282, 880, 339), (1123, 212, 1181, 268), (1282, 258, 1374, 348)]"
307,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Neilson POWLESS', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '66', '67', '96', '204']","[(1475, 313, 1584, 413), (911, 383, 985, 478), (1567, 303, 1683, 392), (992, 382, 1070, 473), (746, 227, 817, 290), (1206, 263, 1291, 348), (1076, 220, 1142, 277), (811, 276, 884, 337), (1120, 218, 1180, 271), (1286, 262, 1377, 353)]"
308,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Edward THEUNS', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '56', '204', '1']","[(1481, 312, 1591, 412), (917, 393, 993, 485), (1578, 303, 1690, 391), (1000, 392, 1077, 484), (747, 236, 823, 297), (1213, 265, 1295, 354), (1069, 225, 1135, 291), (816, 271, 886, 333), (1123, 223, 1179, 277), (1295, 264, 1382, 353), (881, 262, 945, 317)]"
309,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Edward THEUNS', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '56', '204', '1']","[(1488, 314, 1595, 416), (922, 402, 996, 489), (1579, 302, 1691, 391), (1003, 401, 1079, 490), (749, 245, 821, 306), (1214, 273, 1300, 363), (1066, 232, 1127, 291), (822, 270, 890, 329), (1119, 228, 1174, 280), (1299, 266, 1384, 358), (890, 261, 948, 319)]"
310,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Neilson POWLESS', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '96', '204', '1']","[(1488, 316, 1594, 419), (924, 405, 997, 492), (1582, 305, 1691, 396), (1007, 406, 1079, 493), (747, 252, 818, 313), (1216, 280, 1300, 367), (1062, 236, 1122, 296), (827, 269, 893, 325), (1115, 233, 1169, 285), (1301, 272, 1385, 359), (890, 261, 948, 319)]"
311,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Neilson POWLESS', 'Matteo JORGENSON', 'Mathieu VAN DER POEL']","['72', '55', '72', '55', '191', '204', '66', '67', '96', '204', '1']","[(1486, 322, 1592, 428), (924, 408, 999, 498), (1585, 312, 1690, 401), (1007, 409, 1083, 501), (740, 261, 815, 320), (1212, 283, 1298, 372), (1068, 239, 1127, 294), (842, 272, 904, 329), (1107, 240, 1160, 292), (1298, 275, 1383, 364), (890, 261, 948, 319)]"
312,"['Kasper ASGREEN', 'Mads PEDERSEN', 'Kasper ASGREEN', 'Mads PEDERSEN', 'Stefan KÜNG', 'Matteo JORGENSON', 'Magnus SHEFFIELD', 'Connor SWIFT', 'Pierre GAUTHERAT', 'Matteo JORGENSON']","['72', '55', '72', '55', '191', '204', '66', '67', '36', '204']","[(1478, 331, 1588, 433), (924, 417, 999, 507), (1578, 317, 1685, 409), (1008, 414, 1081, 507), (737, 269, 807, 328), (1202, 288, 1291, 378), (1044, 247, 1109, 305), (828, 281, 905, 341), (1099, 245, 1153, 298), (1287, 281, 1376, 366)]"
